Iteration 365: x = -2.335891, y = -2.335891, f(x, y) = 41.189874
Iteration 366: x = -1.750154, y = -1.750154, f(x, y) = 26.106780
Iteration 367: x = -2.343469, y = -2.343469, f(x, y) = 42.065688
Iteration 368: x = -1.773555, y = -1.773555, f(x, y) = 23.341728
Iteration 369: x = -2.359534, y = -2.359534, f(x, y) = 43.838082
Iteration 370: x = -1.827044, y = -1.827044, f(x, y) = 17.368243
Iteration 371: x = -2.346629, y = -2.346629, f(x, y) = 42.423761
Iteration 372: x = -1.783669, y = -1.783669, f(x, y) = 22.163409
Iteration 373: x = -2.362307, y = -2.362307, f(x, y) = 44.131506
Iteration 374: x = -1.836789, y = -1.836789, f(x, y) = 16.373853
Iteration 375: x = -2.337244, y = -2.337244, f(x, y) = 41.347898
Iteration 376: x = -1.754241, y = -1.754241, f(x, y) = 25.621863
Iteration 377: x = -2.347252, y = -2.347252, f(x, y) = 42.493725
Iteration 378: x = -1.785684, y = -1.785684, f(x, y) = 21.930574
Iteration 379: x = -2.362562, y = -2.362562, f(x, y) = 44.158307
Iteration 380: x = -1.837693, y = -1.837693, f(x, y) = 16.283545
Iteration 381: x = -2.336270, y = -2.336270, f(x, y) = 41.234161
Iteration 382: x = -1.751293, y = -1.751293, f(x, y) = 25.971551
Iteration 383: x = -2.344565, y = -2.344565, f(x, y) = 42.190397
Iteration 384: x = -1.777041, y = -1.777041, f(x, y) = 22.934040
Iteration 385: x = -2.360771, y = -2.360771, f(x, y) = 43.969514
Iteration 386: x = -1.831375, y = -1.831375, f(x, y) = 16.921698
Iteration 387: x = -2.342711, y = -2.342711, f(x, y) = 41.979222
